Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
8.01	0.050	0.052	0.108	0.269	1.000	0.351	0.093	0.057	0.062	0.037	0.053	0.116	E
8.02	0.052	0.056	0.110	0.266	1.000	0.361	0.102	0.068	0.076	0.039	0.057	0.114	E
8.03	0.055	0.060	0.114	0.264	1.000	0.373	0.112	0.084	0.092	0.042	0.062	0.113	E
8.04	0.059	0.066	0.119	0.265	1.000	0.388	0.124	0.105	0.110	0.047	0.067	0.112	E
8.05	0.063	0.072	0.124	0.269	1.000	0.404	0.136	0.132	0.131	0.053	0.072	0.111	E
8.06	0.067	0.080	0.131	0.277	1.000	0.422	0.149	0.163	0.155	0.060	0.078	0.111	E
8.07	0.072	0.088	0.138	0.289	1.000	0.440	0.162	0.200	0.182	0.069	0.085	0.111	E
8.09	0.078	0.097	0.147	0.307	1.000	0.460	0.176	0.245	0.212	0.080	0.093	0.112	E
8.10	0.085	0.110	0.161	0.333	1.000	0.481	0.190	0.297	0.246	0.091	0.102	0.114	E
9.00	0.283	0.523	1.000	0.763	0.353	0.231	0.145	0.146	0.140	0.166	0.137	0.214	D
9.01	0.343	0.549	1.000	0.767	0.359	0.232	0.145	0.157	0.155	0.184	0.153	0.248	D
9.02	0.425	0.602	1.000	0.772	0.364	0.233	0.147	0.170	0.177	0.205	0.171	0.287	D
9.03	0.529	0.677	1.000	0.781	0.370	0.233	0.149	0.186	0.205	0.235	0.195	0.333	D
9.05	0.653	0.765	1.000	0.789	0.383	0.235	0.155	0.200	0.237	0.270	0.221	0.384	D
9.06	0.795	0.850	1.000	0.785	0.401	0.241	0.163	0.211	0.269	0.307	0.244	0.435	D
9.07	0.956	0.941	1.000	0.777	0.419	0.253	0.171	0.220	0.300	0.343	0.269	0.488	D
9.08	1.000	0.925	0.884	0.676	0.393	0.240	0.158	0.203	0.292	0.334	0.267	0.481	C
9.09	1.000	0.887	0.759	0.574	0.366	0.225	0.143	0.184	0.273	0.313	0.259	0.455	C
9.10	1.000	0.864	0.665	0.497	0.357	0.216	0.131	0.169	0.256	0.294	0.254	0.432	C
10.01	1.000	0.152	0.050	0.056	0.034	0.050	0.035	0.027	0.056	0.105	0.112	0.143	C
10.02	1.000	0.157	0.055	0.061	0.036	0.053	0.039	0.029	0.059	0.117	0.124	0.160	C
10.03	1.000	0.163	0.060	0.067	0.038	0.057	0.044	0.032	0.063	0.131	0.137	0.182	C
10.04	1.000	0.170	0.066	0.073	0.041	0.061	0.050	0.034	0.067	0.146	0.155	0.210	C
10.05	1.000	0.178	0.072	0.079	0.045	0.066	0.057	0.037	0.072	0.161	0.178	0.247	C
10.06	1.000	0.186	0.078	0.087	0.050	0.071	0.065	0.041	0.077	0.178	0.205	0.291	C
10.07	1.000	0.195	0.087	0.096	0.056	0.078	0.075	0.043	0.084	0.196	0.235	0.344	C
10.08	1.000	0.206	0.097	0.108	0.063	0.088	0.088	0.046	0.093	0.216	0.269	0.406	C
