Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
120.04	0.931	0.574	0.668	0.822	0.682	0.552	0.672	0.693	0.650	0.860	0.605	1.000	B
120.05	0.946	0.593	0.676	0.862	0.760	0.593	0.694	0.707	0.657	0.927	0.614	1.000	B
120.06	0.968	0.610	0.685	0.893	0.828	0.633	0.713	0.726	0.659	0.996	0.602	1.000	B
120.07	0.876	0.576	0.642	0.843	0.812	0.625	0.668	0.667	0.626	1.000	0.545	0.915	A
120.09	0.830	0.550	0.601	0.806	0.824	0.601	0.656	0.623	0.596	1.000	0.510	0.849	A
120.10	0.779	0.538	0.581	0.795	0.831	0.618	0.654	0.590	0.597	1.000	0.487	0.820	A
121.00	0.427	0.641	0.623	0.555	0.531	0.568	0.507	1.000	0.459	0.259	0.284	0.300	G
121.01	0.427	0.637	0.614	0.553	0.526	0.572	0.506	1.000	0.453	0.277	0.298	0.298	G
121.02	0.416	0.628	0.602	0.553	0.515	0.580	0.524	1.000	0.454	0.285	0.303	0.303	G
121.03	0.409	0.636	0.584	0.547	0.524	0.570	0.539	1.000	0.461	0.296	0.295	0.294	G
121.05	0.393	0.619	0.570	0.541	0.528	0.559	0.562	1.000	0.475	0.296	0.280	0.307	G
121.06	0.387	0.605	0.553	0.525	0.530	0.535	0.576	1.000	0.475	0.300	0.269	0.307	G
121.07	0.392	0.594	0.544	0.509	0.529	0.531	0.577	1.000	0.446	0.303	0.263	0.304	G
121.08	0.368	0.566	0.523	0.492	0.476	0.515	0.554	1.000	0.416	0.284	0.230	0.266	G
121.09	0.365	0.547	0.517	0.459	0.447	0.500	0.554	1.000	0.394	0.288	0.223	0.251	G
121.10	0.350	0.519	0.506	0.434	0.432	0.484	0.554	1.000	0.386	0.278	0.210	0.249	G
122.01	0.422	0.663	0.716	0.649	0.490	0.797	0.643	1.000	0.720	0.514	0.326	0.346	G
122.02	0.410	0.664	0.706	0.644	0.482	0.782	0.649	1.000	0.707	0.503	0.322	0.342	G
122.03	0.398	0.664	0.686	0.636	0.471	0.767	0.655	1.000	0.691	0.491	0.316	0.340	G
122.04	0.398	0.645	0.676	0.634	0.465	0.755	0.660	1.000	0.677	0.482	0.311	0.334	G
122.05	0.377	0.637	0.661	0.616	0.449	0.737	0.657	1.000	0.662	0.478	0.303	0.320	G
122.06	0.361	0.627	0.646	0.601	0.441	0.713	0.658	1.000	0.644	0.459	0.301	0.309	G
122.07	0.346	0.604	0.646	0.584	0.430	0.688	0.653	1.000	0.627	0.447	0.286	0.294	G
122.08	0.341	0.595	0.643	0.575	0.419	0.665	0.652	1.000	0.613	0.433	0.281	0.282	G
122.09	0.335	0.582	0.638	0.562	0.423	0.647	0.656	1.000	0.610	0.428	0.283	0.283	G
123.01	0.540	0.831	0.559	0.723	0.950	0.683	0.517	0.641	0.529	1.000	0.522	0.654	A
123.02	0.526	0.776	0.520	0.687	0.915	0.658	0.523	0.639	0.515	1.000	0.506	0.650	A
123.03	0.526	0.777	0.498	0.648	0.953	0.639	0.510	0.623	0.495	1.000	0.497	0.676	A
123.04	0.528	0.769	0.474	0.597	0.918	0.611	0.489	0.606	0.466	1.000	0.505	0.611	A
123.05	0.516	0.736	0.458	0.548	0.863	0.563	0.467	0.574	0.439	1.000	0.481	0.553	A
123.06	0.500	0.691	0.444	0.512	0.847	0.564	0.464	0.565	0.427	1.000	0.490	0.526	A
123.07	0.495	0.651	0.426	0.481	0.847	0.569	0.468	0.548	0.431	1.000	0.487	0.515	A
123.08	0.484	0.598	0.413	0.474	0.823	0.556	0.463	0.536	0.426	1.000	0.491	0.475	A
123.09	0.469	0.598	0.401	0.454	0.809	0.527	0.466	0.503	0.426	1.000	0.487	0.432	A
124.00	0.437	0.671	1.000	0.704	0.628	0.545	0.605	0.657	0.689	0.865	0.494	0.444	D
124.01	0.436	0.700	1.000	0.701	0.657	0.560	0.629	0.668	0.730	0.871	0.494	0.433	D
124.02	0.436	0.676	1.000	0.704	0.674	0.568	0.645	0.687	0.742	0.904	0.470	0.437	D
124.03	0.460	0.729	1.000	0.704	0.707	0.579	0.656	0.713	0.755	0.905	0.465	0.421	D
124.04	0.471	0.744	1.000	0.656	0.749	0.578	0.653	0.724	0.778	0.867	0.421	0.419	D
124.05	0.476	0.788	1.000	0.647	0.812	0.598	0.660	0.742	0.799	0.882	0.422	0.447	D
124.06	0.470	0.777	1.000	0.633	0.866	0.600	0.670	0.747	0.793	0.887	0.418	0.474	D
124.07	0.485	0.804	1.000	0.632	0.911	0.626	0.691	0.770	0.788	0.911	0.423	0.515	D
124.09	0.478	0.791	1.000	0.653	0.959	0.615	0.684	0.793	0.792	0.933	0.436	0.493	D
124.10	0.469	0.785	1.000	0.651	0.999	0.593	0.692	0.796	0.783	0.927	0.435	0.483	D
125.00	0.069	0.056	0.105	0.182	1.000	0.162	0.167	0.159	0.145	0.064	0.058	0.160	E
125.01	0.065	0.059	0.106	0.178	1.000	0.158	0.151	0.148	0.143	0.064	0.058	0.145	E
125.02	0.062	0.059	0.097	0.187	1.000	0.165	0.131	0.138	0.136	0.053	0.056	0.200	E
125.03	0.056	0.060	0.081	0.184	1.000	0.176	0.123	0.129	0.125	0.051	0.061	0.231	E
125.05	0.059	0.053	0.088	0.187	1.000	0.186	0.114	0.121	0.119	0.046	0.054	0.244	E
125.06	0.060	0.065	0.090	0.183	1.000	0.187	0.117	0.108	0.114	0.047	0.063	0.254	E
125.07	0.055	0.062	0.088	0.186	1.000	0.203	0.121	0.105	0.112	0.049	0.059	0.251	E
125.08	0.067	0.054	0.080	0.202	1.000	0.216	0.117	0.101	0.122	0.052	0.071	0.251	E
125.09	0.062	0.047	0.074	0.203	1.000	0.219	0.119	0.087	0.136	0.053	0.079	0.251	E
125.10	0.059	0.052	0.082	0.214	1.000	0.234	0.124	0.095	0.141	0.045	0.067	0.261	E
126.01	0.118	0.153	0.328	0.366	1.000	0.351	0.270	0.247	0.277	0.141	0.161	0.275	E
126.02	0.124	0.143	0.271	0.380	1.000	0.392	0.272	0.227	0.270	0.152	0.194	0.256	E
126.03	0.128	0.156	0.312	0.387	1.000	0.408	0.269	0.201	0.314	0.163	0.171	0.297	E
126.04	0.148	0.172	0.335	0.394	1.000	0.414	0.243	0.197	0.297	0.166	0.181	0.294	E
126.05	0.139	0.199	0.391	0.386	1.000	0.419	0.212	0.180	0.265	0.177	0.191	0.233	E
126.06	0.150	0.217	0.475	0.423	1.000	0.432	0.223	0.191	0.264	0.178	0.172	0.234	E
126.07	0.167	0.247	0.455	0.440	1.000	0.413	0.218	0.185	0.260	0.188	0.174	0.242	E
126.08	0.185	0.273	0.423	0.434	1.000	0.446	0.176	0.175	0.283	0.176	0.184	0.286	E
126.09	0.158	0.278	0.387	0.431	1.000	0.433	0.150	0.171	0.183	0.161	0.128	0.236	E
127.01	1.000	0.135	0.139	0.114	0.240	0.108	0.133	0.504	0.170	0.141	0.131	0.202	C
127.02	1.000	0.128	0.129	0.109	0.200	0.102	0.120	0.477	0.174	0.126	0.129	0.205	C
127.03	1.000	0.126	0.122	0.103	0.201	0.098	0.111	0.425	0.174	0.124	0.099	0.196	C
127.04	1.000	0.125	0.125	0.099	0.172	0.090	0.093	0.382	0.176	0.117	0.109	0.194	C
127.05	1.000	0.124	0.131	0.104	0.165	0.085	0.081	0.371	0.160	0.104	0.097	0.201	C
127.06	1.000	0.125	0.125	0.103	0.171	0.072	0.078	0.377	0.142	0.104	0.084	0.189	C
127.07	1.000	0.125	0.123	0.102	0.179	0.097	0.080	0.373	0.127	0.111	0.105	0.156	C
127.08	1.000	0.123	0.123	0.120	0.134	0.100	0.082	0.374	0.107	0.103	0.091	0.151	C
127.09	1.000	0.125	0.126	0.112	0.138	0.104	0.084	0.374	0.105	0.109	0.084	0.176	C
128.00	0.428	0.156	0.242	0.568	1.000	0.633	0.238	0.210	0.172	0.210	0.362	0.873	E
128.01	0.416	0.152	0.245	0.673	1.000	0.504	0.194	0.211	0.160	0.214	0.348	0.792	E
128.02	0.385	0.162	0.292	0.843	1.000	0.420	0.192	0.202	0.151	0.223	0.325	0.765	E
128.03	0.374	0.188	0.394	1.000	0.967	0.342	0.210	0.185	0.167	0.243	0.322	0.749	D#
128.04	0.341	0.173	0.471	1.000	0.757	0.250	0.193	0.169	0.155	0.244	0.275	0.646	D#
128.05	0.326	0.205	0.610	1.000	0.633	0.198	0.199	0.155	0.185	0.291	0.300	0.607	D#
128.06	0.332	0.221	0.732	1.000	0.529	0.185	0.203	0.158	0.202	0.327	0.299	0.601	D#
128.07	0.377	0.305	0.905	1.000	0.499	0.215	0.215	0.167	0.249	0.444	0.349	0.632	D#
128.09	0.377	0.382	1.000	0.857	0.415	0.213	0.208	0.174	0.291	0.517	0.391	0.608	D
128.10	0.359	0.405	1.000	0.686	0.387	0.207	0.187	0.186	0.316	0.624	0.389	0.540	D
129.00	0.060	0.076	0.092	0.130	1.000	0.150	0.094	0.102	0.093	0.300	0.080	0.104	E
129.01	0.061	0.079	0.089	0.142	1.000	0.157	0.090	0.097	0.102	0.303	0.104	0.098	E
129.02	0.053	0.084	0.099	0.155	1.000	0.151	0.084	0.094	0.096	0.303	0.087	0.090	E
129.03	0.053	0.091	0.106	0.161	1.000	0.162	0.084	0.088	0.103	0.300	0.098	0.093	E
129.05	0.055	0.094	0.103	0.179	1.000	0.163	0.085	0.081	0.114	0.295	0.100	0.100	E
129.06	0.059	0.098	0.105	0.188	1.000	0.169	0.090	0.083	0.111	0.288	0.105	0.112	E
129.07	0.061	0.091	0.109	0.194	1.000	0.184	0.098	0.081	0.113	0.269	0.100	0.113	E
129.08	0.061	0.081	0.113	0.193	1.000	0.198	0.101	0.091	0.109	0.246	0.092	0.113	E
129.09	0.075	0.084	0.117	0.194	1.000	0.212	0.108	0.095	0.122	0.233	0.105	0.108	E
129.10	0.075	0.086	0.123	0.200	1.000	0.213	0.111	0.098	0.112	0.225	0.102	0.080	E
130.01	0.574	0.580	0.775	1.000	0.907	0.962	0.949	0.653	0.736	0.604	0.569	0.996	D#
130.02	0.573	0.630	0.853	1.000	0.908	0.980	0.886	0.800	0.834	0.652	0.561	0.796	D#
130.03	0.480	0.630	0.878	1.000	0.844	0.946	0.826	0.898	0.913	0.681	0.561	0.696	D#
130.04	0.529	0.687	0.955	1.000	0.860	0.948	0.787	0.971	0.993	0.783	0.542	0.715	D#
130.05	0.414	0.615	0.896	0.883	0.732	0.938	0.865	1.000	0.903	0.757	0.502	0.708	G
130.06	0.381	0.604	0.908	0.798	0.622	0.845	1.000	0.959	0.824	0.663	0.476	0.721	F#
130.07	0.330	0.498	0.839	0.656	0.523	0.699	1.000	0.795	0.629	0.525	0.444	0.573	F#
130.08	0.315	0.483	0.807	0.610	0.478	0.645	1.000	0.802	0.591	0.502	0.409	0.511	F#
130.09	0.335	0.475	0.862	0.594	0.438	0.671	1.000	0.913	0.609	0.497	0.413	0.560	F#
131.01	0.347	0.445	1.000	0.382	0.233	0.230	0.290	0.172	0.169	0.205	0.372	0.306	D
131.02	0.416	0.500	1.000	0.394	0.244	0.234	0.309	0.171	0.166	0.208	0.397	0.318	D
131.03	0.446	0.556	1.000	0.411	0.280	0.219	0.310	0.160	0.173	0.199	0.398	0.326	D
131.04	0.525	0.577	1.000	0.418	0.287	0.218	0.307	0.199	0.195	0.231	0.372	0.327	D
131.05	0.570	0.678	1.000	0.450	0.319	0.221	0.298	0.295	0.229	0.253	0.375	0.331	D
131.06	0.638	0.710	1.000	0.487	0.342	0.261	0.303	0.407	0.276	0.257	0.371	0.344	D
131.07	0.762	0.827	1.000	0.508	0.362	0.309	0.312	0.534	0.328	0.305	0.383	0.419	D
131.08	0.822	0.861	1.000	0.487	0.365	0.319	0.297	0.639	0.343	0.354	0.330	0.424	D
131.09	0.955	0.914	1.000	0.523	0.431	0.358	0.306	0.784	0.394	0.376	0.363	0.493	D
132.00	0.191	0.260	0.145	0.296	1.000	0.398	0.793	0.226	0.267	0.305	0.330	0.454	E
132.01	0.196	0.291	0.156	0.241	1.000	0.460	0.788	0.208	0.262	0.325	0.261	0.416	E
132.02	0.196	0.351	0.134	0.294	1.000	0.567	0.778	0.205	0.257	0.396	0.247	0.416	E
132.03	0.188	0.341	0.143	0.288	1.000	0.656	0.720	0.209	0.213	0.382	0.213	0.383	E
132.04	0.176	0.344	0.137	0.325	1.000	0.729	0.627	0.224	0.196	0.384	0.237	0.344	E
132.05	0.168	0.354	0.173	0.305	1.000	0.780	0.524	0.236	0.192	0.375	0.240	0.330	E
132.06	0.178	0.393	0.179	0.229	1.000	0.762	0.428	0.235	0.230	0.377	0.272	0.334	E
132.07	0.146	0.392	0.184	0.272	1.000	0.682	0.356	0.229	0.265	0.445	0.258	0.341	E
132.09	0.139	0.447	0.245	0.304	1.000	0.634	0.326	0.254	0.372	0.574	0.310	0.400	E
132.10	0.158	0.429	0.265	0.358	1.000	0.544	0.302	0.265	0.395	0.720	0.295	0.385	E
133.00	0.078	0.108	0.109	0.128	1.000	0.189	0.103	0.082	0.083	0.144	0.068	0.134	E
133.01	0.090	0.112	0.107	0.141	1.000	0.214	0.107	0.085	0.096	0.153	0.083	0.140	E
133.02	0.098	0.114	0.106	0.142	1.000	0.239	0.109	0.092	0.108	0.161	0.079	0.141	E
133.03	0.107	0.110	0.114	0.168	1.000	0.272	0.118	0.097	0.109	0.166	0.084	0.148	E
133.05	0.128	0.127	0.136	0.180	1.000	0.309	0.121	0.105	0.116	0.184	0.092	0.159	E
133.06	0.145	0.141	0.150	0.217	1.000	0.353	0.134	0.108	0.116	0.204	0.100	0.170	E
133.07	0.180	0.155	0.159	0.235	1.000	0.385	0.143	0.131	0.125	0.225	0.117	0.182	E
133.08	0.195	0.184	0.183	0.262	1.000	0.404	0.153	0.130	0.110	0.235	0.125	0.167	E
133.09	0.196	0.194	0.205	0.288	1.000	0.417	0.163	0.137	0.114	0.242	0.133	0.174	E
133.10	0.221	0.198	0.202	0.281	1.000	0.414	0.177	0.135	0.117	0.249	0.137	0.207	E
134.01	0.265	0.560	0.776	0.629	1.000	0.517	0.286	0.370	0.382	0.331	0.364	0.430	E
134.02	0.222	0.472	0.773	0.590	1.000	0.454	0.250	0.292	0.357	0.270	0.331	0.478	E
134.03	0.202	0.463	0.720	0.537	1.000	0.381	0.249	0.267	0.314	0.260	0.308	0.394	E
134.04	0.197	0.497	0.781	0.519	1.000	0.357	0.288	0.254	0.298	0.280	0.314	0.297	E
134.05	0.193	0.470	0.749	0.453	1.000	0.297	0.278	0.228	0.280	0.268	0.290	0.278	E
134.06	0.178	0.404	0.763	0.428	1.000	0.260	0.266	0.222	0.327	0.273	0.292	0.282	E
134.07	0.197	0.400	0.788	0.428	1.000	0.268	0.287	0.219	0.300	0.308	0.272	0.311	E
134.08	0.197	0.431	0.805	0.432	1.000	0.271	0.320	0.235	0.270	0.327	0.299	0.310	E
134.09	0.209	0.455	0.819	0.442	1.000	0.265	0.318	0.243	0.262	0.328	0.290	0.275	E
135.01	1.000	0.113	0.246	0.075	0.289	0.176	0.082	0.369	0.086	0.093	0.142	0.283	C
135.02	1.000	0.124	0.244	0.081	0.287	0.179	0.080	0.353	0.093	0.090	0.131	0.269	C
135.03	1.000	0.134	0.231	0.087	0.279	0.164	0.076	0.327	0.090	0.090	0.138	0.290	C
135.04	1.000	0.149	0.239	0.098	0.285	0.161	0.085	0.313	0.097	0.084	0.139	0.285	C
135.05	1.000	0.164	0.255	0.104	0.278	0.167	0.093	0.311	0.099	0.085	0.151	0.319	C
135.06	1.000	0.176	0.264	0.116	0.276	0.182	0.101	0.304	0.094	0.084	0.162	0.332	C
135.07	1.000	0.189	0.250	0.118	0.252	0.189	0.113	0.297	0.087	0.080	0.159	0.350	C
135.08	1.000	0.200	0.287	0.130	0.226	0.194	0.119	0.318	0.098	0.091	0.156	0.378	C
135.09	1.000	0.206	0.259	0.141	0.209	0.201	0.135	0.330	0.102	0.104	0.173	0.422	C
136.00	0.228	0.211	0.165	0.188	1.000	0.292	0.115	0.121	0.180	0.394	0.169	0.170	E
136.01	0.170	0.172	0.148	0.161	1.000	0.266	0.108	0.117	0.181	0.402	0.176	0.157	E
136.02	0.146	0.154	0.139	0.153	1.000	0.242	0.101	0.108	0.166	0.396	0.172	0.150	E
136.03	0.130	0.153	0.127	0.144	1.000	0.235	0.099	0.112	0.158	0.371	0.157	0.142	E
136.04	0.121	0.142	0.126	0.132	1.000	0.217	0.107	0.111	0.159	0.365	0.144	0.138	E
136.05	0.124	0.160	0.119	0.129	1.000	0.198	0.105	0.122	0.165	0.346	0.124	0.146	E
136.06	0.121	0.153	0.118	0.135	1.000	0.193	0.107	0.109	0.155	0.340	0.121	0.147	E
136.07	0.116	0.162	0.128	0.134	1.000	0.193	0.108	0.117	0.162	0.332	0.109	0.156	E
136.09	0.112	0.165	0.124	0.142	1.000	0.180	0.114	0.120	0.162	0.326	0.112	0.154	E
136.10	0.115	0.169	0.128	0.149	1.000	0.180	0.121	0.126	0.156	0.311	0.114	0.152	E
137.00	0.177	0.141	0.164	0.378	1.000	0.332	0.128	0.147	0.175	0.310	0.198	0.290	E
137.01	0.174	0.138	0.175	0.356	1.000	0.317	0.131	0.143	0.174	0.282	0.215	0.298	E
137.02	0.181	0.155	0.189	0.352	1.000	0.319	0.136	0.159	0.167	0.264	0.223	0.308	E
137.03	0.192	0.156	0.204	0.350	1.000	0.310	0.136	0.164	0.170	0.258	0.213	0.340	E
137.05	0.195	0.164	0.200	0.319	1.000	0.292	0.132	0.164	0.161	0.265	0.226	0.358	E
137.06	0.182	0.164	0.184	0.310	1.000	0.265	0.130	0.156	0.164	0.274	0.209	0.358	E
137.07	0.203	0.172	0.186	0.297	1.000	0.242	0.131	0.158	0.161	0.278	0.208	0.333	E
137.08	0.199	0.185	0.198	0.311	1.000	0.225	0.136	0.165	0.173	0.289	0.193	0.329	E
137.09	0.209	0.192	0.205	0.312	1.000	0.203	0.135	0.172	0.198	0.298	0.197	0.329	E
137.10	0.229	0.218	0.219	0.306	1.000	0.193	0.137	0.182	0.209	0.292	0.215	0.313	E
138.01	0.380	0.556	1.000	0.722	0.890	0.700	0.626	0.917	0.509	0.423	0.346	0.593	D
138.02	0.354	0.590	1.000	0.762	0.945	0.686	0.541	0.884	0.623	0.398	0.371	0.531	D
138.03	0.368	0.576	0.983	0.783	1.000	0.713	0.489	0.846	0.693	0.424	0.386	0.592	E
138.04	0.391	0.522	0.840	0.758	1.000	0.636	0.451	0.693	0.682	0.363	0.410	0.532	E
138.05	0.402	0.501	0.805	0.748	1.000	0.596	0.461	0.619	0.617	0.366	0.396	0.697	E
138.06	0.389	0.498	0.766	0.739	1.000	0.583	0.445	0.534	0.536	0.318	0.410	0.762	E
138.07	0.404	0.494	0.769	0.773	1.000	0.624	0.452	0.495	0.473	0.349	0.404	0.551	E
138.08	0.422	0.551	0.758	0.791	1.000	0.670	0.491	0.470	0.428	0.379	0.441	0.497	E
138.09	0.458	0.569	0.824	0.819	1.000	0.698	0.542	0.530	0.407	0.405	0.460	0.536	E
139.01	1.000	0.648	0.682	0.290	0.338	0.280	0.246	0.760	0.277	0.279	0.385	0.494	C
139.02	1.000	0.650	0.628	0.297	0.333	0.326	0.256	0.739	0.272	0.278	0.371	0.474	C
139.03	1.000	0.654	0.571	0.295	0.351	0.336	0.263	0.746	0.296	0.291	0.394	0.496	C
139.04	1.000	0.633	0.557	0.297	0.389	0.293	0.283	0.737	0.325	0.290	0.406	0.495	C
139.05	1.000	0.648	0.508	0.319	0.364	0.287	0.292	0.696	0.342	0.289	0.400	0.484	C
139.06	1.000	0.671	0.470	0.325	0.365	0.274	0.319	0.627	0.342	0.278	0.407	0.445	C
139.07	1.000	0.658	0.413	0.323	0.352	0.265	0.332	0.551	0.330	0.252	0.369	0.437	C
139.08	1.000	0.641	0.421	0.326	0.385	0.260	0.327	0.491	0.305	0.243	0.355	0.412	C
139.09	1.000	0.671	0.403	0.345	0.434	0.281	0.326	0.472	0.283	0.245	0.349	0.336	C
140.00	0.198	0.317	0.240	0.285	0.953	0.174	0.195	0.249	0.206	1.000	0.195	0.216	A
140.01	0.224	0.404	0.267	0.294	0.894	0.178	0.205	0.252	0.209	1.000	0.234	0.239	A
140.02	0.237	0.448	0.301	0.341	0.861	0.191	0.215	0.263	0.222	1.000	0.213	0.251	A
140.03	0.245	0.530	0.337	0.343	0.885	0.203	0.218	0.312	0.256	1.000	0.254	0.333	A
140.04	0.284	0.553	0.359	0.372	0.912	0.214	0.240	0.330	0.291	1.000	0.231	0.422	A
140.05	0.290	0.615	0.402	0.362	0.933	0.243	0.273	0.361	0.306	1.000	0.268	0.453	A
140.06	0.300	0.647	0.438	0.374	0.920	0.276	0.286	0.347	0.310	1.000	0.315	0.496	A
140.07	0.333	0.634	0.467	0.394	0.892	0.308	0.287	0.357	0.296	1.000	0.414	0.567	A
140.09	0.324	0.571	0.499	0.447	0.869	0.331	0.298	0.351	0.272	1.000	0.466	0.611	A
140.10	0.356	0.555	0.542	0.484	0.894	0.347	0.299	0.377	0.314	1.000	0.570	0.717	A
141.00	0.181	0.197	0.152	0.232	1.000	0.341	0.157	0.150	0.262	0.096	0.141	0.286	E
141.01	0.189	0.205	0.171	0.244	1.000	0.356	0.165	0.165	0.271	0.112	0.138	0.276	E
141.02	0.195	0.208	0.182	0.244	1.000	0.370	0.178	0.168	0.268	0.112	0.136	0.273	E
141.03	0.192	0.223	0.188	0.242	1.000	0.385	0.190	0.169	0.259	0.114	0.137	0.282	E
141.05	0.207	0.228	0.198	0.242	1.000	0.406	0.208	0.191	0.253	0.124	0.140	0.282	E
141.06	0.222	0.253	0.194	0.254	1.000	0.437	0.220	0.200	0.253	0.127	0.146	0.244	E
141.07	0.230	0.280	0.222	0.267	1.000	0.476	0.235	0.215	0.250	0.136	0.165	0.232	E
141.08	0.263	0.299	0.246	0.272	1.000	0.528	0.258	0.223	0.262	0.143	0.165	0.228	E
141.09	0.280	0.324	0.246	0.285	1.000	0.568	0.274	0.241	0.265	0.150	0.173	0.236	E
141.10	0.297	0.344	0.259	0.302	1.000	0.615	0.292	0.256	0.271	0.163	0.186	0.231	E
142.01	0.517	0.800	1.000	0.658	0.591	0.545	0.510	0.408	0.341	0.484	0.329	0.408	D
142.02	0.509	0.842	1.000	0.631	0.603	0.574	0.520	0.430	0.376	0.492	0.340	0.431	D
142.03	0.506	0.810	1.000	0.627	0.612	0.570	0.535	0.431	0.396	0.494	0.347	0.442	D
142.04	0.528	0.841	1.000	0.619	0.673	0.608	0.568	0.459	0.384	0.496	0.351	0.487	D
142.05	0.525	0.843	1.000	0.600	0.682	0.614	0.573	0.476	0.433	0.491	0.354	0.475	D
142.06	0.541	0.866	1.000	0.590	0.694	0.620	0.576	0.489	0.415	0.497	0.356	0.481	D
142.07	0.553	0.906	1.000	0.595	0.707	0.641	0.581	0.520	0.434	0.499	0.369	0.528	D
142.08	0.545	0.942	1.000	0.598	0.731	0.659	0.577	0.510	0.440	0.498	0.386	0.553	D
142.09	0.557	1.000	0.994	0.597	0.738	0.675	0.584	0.574	0.453	0.508	0.394	0.551	C#
143.01	1.000	0.312	0.365	0.256	0.271	0.179	0.179	0.285	0.183	0.166	0.206	0.271	C
143.02	1.000	0.312	0.342	0.261	0.278	0.193	0.190	0.285	0.197	0.177	0.222	0.315	C
143.03	1.000	0.329	0.341	0.287	0.294	0.212	0.209	0.286	0.222	0.188	0.245	0.355	C
143.04	1.000	0.367	0.388	0.314	0.327	0.236	0.234	0.313	0.229	0.210	0.264	0.401	C
143.05	1.000	0.426	0.475	0.345	0.350	0.261	0.261	0.319	0.274	0.237	0.292	0.453	C
143.06	1.000	0.463	0.484	0.384	0.393	0.299	0.288	0.325	0.281	0.273	0.326	0.503	C
143.07	1.000	0.531	0.524	0.441	0.418	0.338	0.310	0.340	0.324	0.312	0.364	0.557	C
143.08	1.000	0.546	0.592	0.520	0.466	0.385	0.337	0.369	0.364	0.349	0.397	0.645	C
143.09	1.000	0.627	0.702	0.565	0.463	0.433	0.359	0.392	0.417	0.391	0.434	0.743	C
144.00	0.482	1.000	0.635	0.480	0.794	0.378	0.371	0.505	0.323	0.554	0.435	0.292	C#
144.01	0.527	1.000	0.708	0.509	0.865	0.421	0.402	0.554	0.359	0.585	0.488	0.323	C#
144.02	0.568	1.000	0.778	0.561	0.961	0.491	0.454	0.623	0.388	0.610	0.565	0.378	C#
144.03	0.577	0.916	0.808	0.563	1.000	0.507	0.466	0.619	0.396	0.563	0.569	0.390	E
144.04	0.558	0.827	0.767	0.544	1.000	0.510	0.460	0.599	0.349	0.501	0.558	0.413	E
144.05	0.509	0.739	0.708	0.504	1.000	0.491	0.444	0.579	0.324	0.441	0.541	0.418	E
144.06	0.485	0.690	0.662	0.464	1.000	0.479	0.434	0.551	0.304	0.402	0.514	0.445	E
144.07	0.470	0.629	0.628	0.442	1.000	0.480	0.427	0.540	0.295	0.366	0.477	0.475	E
144.09	0.480	0.604	0.625	0.437	1.000	0.475	0.425	0.528	0.285	0.352	0.447	0.495	E
144.10	0.475	0.600	0.619	0.436	1.000	0.473	0.405	0.521	0.285	0.332	0.428	0.475	E
145.00	0.218	0.285	0.237	0.317	1.000	0.324	0.198	0.257	0.265	0.185	0.185	0.247	E
145.01	0.240	0.315	0.251	0.316	1.000	0.363	0.216	0.290	0.299	0.188	0.198	0.229	E
145.02	0.247	0.351	0.264	0.319	1.000	0.399	0.242	0.320	0.293	0.200	0.212	0.250	E
145.03	0.276	0.381	0.297	0.360	1.000	0.433	0.277	0.364	0.318	0.220	0.236	0.265	E
145.05	0.319	0.424	0.312	0.385	1.000	0.468	0.315	0.414	0.345	0.235	0.256	0.247	E
145.06	0.353	0.473	0.350	0.415	1.000	0.500	0.354	0.468	0.360	0.258	0.285	0.261	E
145.07	0.365	0.539	0.381	0.468	1.000	0.540	0.398	0.522	0.399	0.284	0.303	0.283	E
145.08	0.383	0.597	0.437	0.501	1.000	0.577	0.443	0.600	0.439	0.310	0.331	0.294	E
145.09	0.404	0.622	0.484	0.545	1.000	0.603	0.472	0.672	0.467	0.318	0.354	0.304	E
145.10	0.429	0.674	0.530	0.587	1.000	0.624	0.490	0.769	0.525	0.336	0.370	0.322	E
146.01	0.701	1.000	0.985	0.766	0.683	0.937	0.724	0.900	0.556	0.577	0.385	0.508	C#
146.02	0.752	1.000	0.928	0.769	0.702	0.964	0.763	0.851	0.567	0.579	0.399	0.497	C#
146.03	0.821	1.000	0.919	0.756	0.716	0.957	0.767	0.858	0.539	0.576	0.412	0.481	C#
146.04	0.902	1.000	0.990	0.781	0.729	0.956	0.790	0.942	0.557	0.575	0.440	0.497	C#
146.05	0.991	1.000	0.973	0.746	0.740	0.907	0.767	0.978	0.555	0.553	0.403	0.480	C#
146.06	1.000	0.950	0.974	0.739	0.749	0.857	0.734	0.948	0.569	0.532	0.415	0.451	C
146.07	0.965	0.867	1.000	0.683	0.705	0.765	0.663	0.961	0.540	0.490	0.396	0.431	D
146.08	0.932	0.774	1.000	0.640	0.652	0.672	0.594	0.933	0.487	0.449	0.362	0.409	D
146.09	0.946	0.737	1.000	0.606	0.654	0.647	0.578	0.870	0.467	0.439	0.361	0.401	D
147.01	1.000	0.568	0.499	0.500	0.627	0.518	0.426	0.525	0.367	0.273	0.278	0.495	C
147.02	1.000	0.571	0.497	0.542	0.626	0.547	0.446	0.551	0.376	0.269	0.278	0.525	C
147.03	1.000	0.574	0.542	0.612	0.669	0.592	0.489	0.624	0.418	0.289	0.289	0.577	C
147.04	1.000	0.662	0.632	0.688	0.697	0.634	0.515	0.605	0.413	0.311	0.294	0.685	C
